what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083314185
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083317661
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083321525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083321751
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1290083321946
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1290083322012
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1290083323818
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1290083323821
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1290083323854
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290083324396
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1290083324511
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290083324553
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1290083328375
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1290083328429
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290083330244
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290083330254
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290083358409
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290083358433
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1290083358465
error,log,,,"Error logged from Debug Core: ",1290083387022
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1290083400455
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290083422425
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1290083507766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083507782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083508051
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083510228
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290083513076
error,log,,,"Error logged from Debug Core: ",1290083521482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290083526468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290084458927
error,log,,,"Error logged from Debug Core: ",1290084480141
